Detecting language using up to the first 30 seconds. Use `--language` to specify the language
Detected language: English
[00:00.000 --> 00:28.560]  Greetings and salutations.
[00:28.560 --> 00:34.120]  Welcome to this training webinar on best practices in webcasting and videography,
[00:34.120 --> 00:40.620]  which we've titled Stranger Audio Visual, a Guide for Navigating the Upside-Down of Webcasting.
[00:40.620 --> 00:45.680]  This is a program with a Stranger Things theme that we will almost certainly be dropping
[00:45.680 --> 00:48.960]  immediately, so don't get too attached.
[00:48.960 --> 00:53.160]  My name is Kevin Berg, I'm the production and live events manager at InReach, and today
[00:53.160 --> 00:58.340]  my colleague and co-presenter Sam Dickinson and I will take you through the fast-paced
[00:58.340 --> 01:03.380]  fun-filled frenzy that is the wide world of webcasting.
[01:03.380 --> 01:07.520]  In this, the first of six chapters, we're going to preface this presentation with the
[01:07.520 --> 01:12.820]  promise that once this webinar ends, any worries or apprehensions you may have had regarding
[01:12.820 --> 01:17.020]  live streaming will mysteriously and magically vanish.
[01:17.020 --> 01:21.500]  What we'll cover today is not necessarily a novice approach, but more of a beginner level
[01:21.500 --> 01:26.620]  to somewhat advanced audio and camera basics in terms of preparation, troubleshooting,
[01:26.620 --> 01:28.820]  and best practices.
[01:28.820 --> 01:34.000]  Now I know many of you are no stranger, pun intended, to webcasting live events and have
[01:34.000 --> 01:38.260]  been doing it in some fashion for years and years and years, but we're here to tell you
[01:38.260 --> 01:43.460]  that, surprise, you've been doing it wrong, all wrong.
[01:43.460 --> 01:48.280]  Just kidding, you're doing a fantastic job, but as technology advances, so too can improvements
[01:48.280 --> 01:50.640]  be made in our methods.
[01:50.640 --> 01:54.900]  We'll go over some simple program launches using Wirecast, what to tell presenters and
[01:54.900 --> 02:00.220]  speakers to help the broadcast run smoothly, technical requirements that we recommend including
[02:00.220 --> 02:04.780]  internet and network connection speeds as it relates to your broadcasting needs, and
[02:04.780 --> 02:09.820]  lastly, a quick overview of what was addressed so that you can hopefully fare better than
[02:09.820 --> 02:15.740]  Barbara Holland did as you journey through the upside down of webcasting.
[02:15.740 --> 02:19.760]  This is our chance to impart some of the tried and true methods and approaches to running
[02:19.760 --> 02:23.280]  a successful webcast or videography event.
[02:23.280 --> 02:27.520]  Preparation is key, and you're going to hear me say this a lot, but I cannot stress enough
[02:27.520 --> 02:32.400]  that if you give yourself plenty of time to set up and test your equipment the day before,
[02:32.400 --> 02:36.360]  or at least a couple hours before the start of your event, you'll eliminate a lot of the
[02:36.360 --> 02:40.580]  needless worry that comes from last minute issues.
